id,メッセージ - 挨拶,メッセージ - 質問,メッセージ - 感想
0,こんにちは！よくそちらへ遊びに行くことが多いので仲良くなったらぜひご飯いきましょう。よろしくお願いします,お仕事は何されているんですか？,かっこいいことしていますね！周りにいないような方なんですごく尊敬します。
1,はじめまして、フィーリングが合いそうだなと思って連絡しました^ ^よろしくお願いします,いつも何されているんですか？,えー！そうなんですね、すごいです^ ^
2,プロフィール見てすごく親近感を感じたんでよければ仲良くしてください^ ^,普段は何されていますか？ざっくりとした質問ですみませんw,すごいですね！私あんまり知らないんですごく尊敬します。
3,,,男前ー！いいですね^ ^
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,